gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation,age,month,Age_class,N_transactions,online_orders,approved_orders,avg_price,avg_cost,profit,lastest_purchase_days_ago,Giant_Bicycles,Norco_Bicycles,OHM_Bicycles,Solex,Trek_Bicycles,WeareA2B,Mountain,Road,Standard,Touring,high_class,low_class,medium_class,large_size,medium_size,small_size,earliest_purchase_days_ago,profit_class,frequency,recency,fav_brand
U,59.0,Legal Assistant,IT,Affluent Customer,0.0,0.0,20.0,4005.0,QLD,8.0,77.0,12.0,5,8,3,8,1512.3537500000002,909.1550000000002,4825.59,102,1,1,0,3,0,3,0,2,5,1,1,2,5,1,4,3,320,Diamond,5,2,Solex
Female,40.0,Information Systems Manager,Health,High Net Worth,0.0,1.0,16.0,4127.0,QLD,6.0,57.0,9.0,3,4,1,4,1045.57,118.9425,3706.5099999999998,92,0,1,1,0,1,1,0,1,3,0,0,1,3,0,4,0,277,Platinum,1,2,Norco_Bicycles
Female,33.0,VP Quality Control,Manufacturing,Affluent Customer,0.0,0.0,22.0,2535.0,NSW,8.0,43.0,11.0,2,2,0,2,890.52,788.34,204.35999999999999,163,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,266,Bronze,1,1,Trek_Bicycles
Female,46.0,Social Worker,Health,High Net Worth,0.0,0.0,16.0,4726.0,QLD,1.0,35.0,12.0,1,9,4,9,1254.6344444444444,550.3577777777779,6338.49,7,0,2,1,3,2,1,0,3,6,0,2,3,4,4,4,1,300,Diamond,5,5,Solex
Female,37.0,Senior Cost Accountant,Financial Services,Affluent Customer,0.0,0.0,20.0,4805.0,QLD,4.0,65.0,10.0,4,4,1,4,1125.6475,619.3125,2025.34,50,1,0,0,3,0,0,0,0,4,0,1,1,2,0,3,1,341,Silver,1,3,Solex
Male,5.0,Assistant Media Planner,Entertainment,Mass Customer,0.0,0.0,22.0,2212.0,NSW,10.0,41.0,4.0,2,12,4,12,936.4325,429.3350000000001,6085.169999999998,34,1,1,2,5,3,0,0,3,9,0,4,2,6,3,9,0,345,Diamond,5,3,Solex
Female,91.0,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,0.0,0.0,14.0,2207.0,NSW,8.0,39.0,10.0,1,5,3,5,976.4860000000001,321.946,3272.7000000000003,14,1,0,0,2,1,1,0,0,5,0,0,2,3,1,4,0,340,Gold,2,5,Solex
Male,64.0,Food Chemist,Health,Mass Customer,0.0,0.0,16.0,3350.0,VIC,9.0,44.0,4.0,2,9,5,8,1012.6833333333335,490.58444444444456,4698.89,29,2,2,0,3,0,2,0,2,6,1,1,0,8,2,7,0,340,Diamond,5,4,Solex
Female,24.0,Accountant III,Manufacturing,Mass Customer,0.0,0.0,18.0,3931.0,VIC,10.0,44.0,3.0,2,4,2,4,484.115,377.355,427.04,111,0,1,0,1,2,0,1,1,2,0,1,1,2,0,3,1,332,Bronze,1,1,Trek_Bicycles
Female,38.0,Director of Sales,Retail,Mass Customer,0.0,0.0,5.0,4018.0,QLD,8.0,38.0,3.0,1,9,3,9,730.51,328.29333333333335,3619.95,61,1,2,4,1,0,1,0,3,5,1,2,0,7,2,7,0,360,Platinum,5,2,OHM_Bicycles
Male,63.0,Assistant Media Planner,Entertainment,Affluent Customer,0.0,1.0,17.0,4670.0,QLD,2.0,39.0,10.0,1,7,2,7,1071.0571428571427,389.8742857142857,4768.28,35,1,1,0,3,2,0,0,0,7,0,2,1,4,1,5,1,257,Diamond,4,3,Solex
Male,64.0,Senior Financial Analyst,Financial Services,Mass Customer,0.0,0.0,8.0,2480.0,NSW,3.0,45.0,9.0,2,3,2,3,970.7766666666666,621.3933333333333,1048.1499999999999,43,0,0,0,1,1,1,0,0,3,0,0,0,3,0,2,1,174,Bronze,1,3,Solex
Female,98.0,Business Systems Development Analyst,Manufacturing,Affluent Customer,0.0,1.0,15.0,3212.0,VIC,6.0,49.0,2.0,2,5,2,5,984.628,659.9019999999999,1623.6299999999997,53,1,1,1,2,0,0,1,1,3,0,0,1,4,1,2,2,290,Silver,2,3,Solex
Male,51.0,Registered Nurse,Health,Affluent Customer,0.0,0.0,2.0,2322.0,NSW,4.0,28.0,10.0,0,7,3,7,1146.0014285714285,527.1171428571428,4332.1900000000005,35,2,1,0,1,2,1,0,2,4,1,0,0,7,2,5,0,347,Platinum,4,3,Giant_Bicycles
Female,46.0,Biostatistician II,Manufacturing,Mass Customer,0.0,1.0,8.0,3198.0,VIC,9.0,45.0,8.0,2,8,5,8,1206.7649999999999,511.63000000000005,5561.08,82,1,0,2,2,1,2,0,2,6,0,1,2,5,2,4,2,327,Diamond,5,2,OHM_Bicycles
Male,63.0,VP Quality Control,Manufacturing,Affluent Customer,0.0,0.0,1.0,2210.0,NSW,9.0,27.0,1.0,0,4,2,4,1409.3725000000002,750.265,2636.4300000000003,36,0,1,1,0,1,1,0,1,3,0,0,2,2,0,3,1,333,Gold,1,3,Norco_Bicycles
Male,38.0,Account Executive,Manufacturing,Mass Customer,0.0,1.0,16.0,2047.0,NSW,10.0,40.0,10.0,2,7,4,7,1051.752857142857,458.4085714285714,4153.41,26,3,1,1,1,0,1,0,4,2,1,0,1,6,1,4,2,347,Platinum,4,4,Giant_Bicycles
Male,68.0,Computer Systems Analyst II,Retail,Mass Customer,0.0,0.0,18.0,4503.0,QLD,5.0,61.0,12.0,4,8,4,8,1208.4325000000003,601.5074999999999,4855.400000000001,55,3,2,0,2,0,1,0,2,5,1,2,0,6,3,5,0,363,Diamond,5,3,Giant_Bicycles
Male,57.0,Business Systems Development Analyst,Financial Services,Mass Customer,0.0,1.0,13.0,2145.0,NSW,8.0,32.0,6.0,1,6,1,6,1629.9516666666666,726.98,5417.83,4,0,0,1,2,1,2,0,2,4,0,0,1,5,2,3,1,353,Diamond,3,5,Solex
Female,22.0,Software Test Engineer II,Financial Services,Mass Customer,0.0,0.0,16.0,4350.0,QLD,3.0,66.0,4.0,4,5,2,5,1094.548,504.534,2950.07,7,1,1,2,0,0,1,0,0,5,0,2,0,3,0,5,0,357,Gold,2,5,OHM_Bicycles
Female,2.0,Sales Associate,Property,Mass Customer,0.0,1.0,18.0,2142.0,NSW,8.0,54.0,7.0,3,7,5,7,1401.9514285714286,816.4928571428572,4098.21,67,1,2,1,1,2,0,0,1,6,0,2,2,3,0,4,3,308,Platinum,4,2,Norco_Bicycles
Male,48.0,Paralegal,Financial Services,Affluent Customer,0.0,1.0,7.0,2029.0,NSW,10.0,64.0,9.0,4,8,4,8,844.2762499999999,441.66875000000005,3220.8599999999997,46,1,1,0,2,2,2,0,0,8,0,1,1,6,1,5,2,356,Gold,5,3,Solex
Male,44.0,VP Sales,Property,Mass Customer,0.0,1.0,4.0,2127.0,NSW,10.0,24.0,7.0,0,7,3,7,722.9799999999999,540.8028571428572,1275.2399999999998,2,1,0,6,0,0,0,0,2,3,2,2,4,1,1,5,1,315,Bronze,4,5,OHM_Bicycles
Male,87.0,Chief Design Engineer,Manufacturing,Mass Customer,0.0,1.0,13.0,4280.0,QLD,6.0,32.0,6.0,1,6,2,6,1458.125,605.1316666666667,5117.96,35,3,0,0,2,0,1,0,1,4,1,1,1,4,2,3,1,344,Diamond,3,3,Giant_Bicycles
Female,26.0,Office Assistant III,Financial Services,Affluent Customer,0.0,1.0,17.0,2166.0,NSW,9.0,53.0,7.0,3,8,4,8,870.9137499999999,433.24249999999995,3501.37,20,1,1,2,1,1,2,0,2,6,0,3,1,4,0,8,0,237,Platinum,5,4,OHM_Bicycles
Male,60.0,Physical Therapy Assistant,Manufacturing,High Net Worth,0.0,0.0,3.0,2046.0,NSW,9.0,21.0,2.0,0,3,1,3,932.4899999999999,56.36666666666667,2628.37,22,0,0,0,1,0,2,0,0,1,2,0,0,3,2,1,0,264,Gold,1,4,WeareA2B
Female,18.0,Business Systems Development Analyst,Manufacturing,Mass Customer,0.0,0.0,10.0,2026.0,NSW,10.0,51.0,2.0,3,2,0,2,763.45,439.84000000000003,647.22,200,0,1,0,1,0,0,0,0,2,0,0,1,1,0,2,0,217,Bronze,1,1,Norco_Bicycles
Female,47.0,Help Desk Operator,Property,High Net Worth,0.0,0.0,13.0,2765.0,NSW,7.0,61.0,11.0,4,6,1,6,1254.8933333333334,545.8533333333334,4254.240000000001,47,0,0,2,1,0,3,0,0,4,2,2,0,4,2,3,1,208,Platinum,3,3,WeareA2B
Female,38.0,Business Systems Development Analyst,IT,Mass Customer,0.0,1.0,22.0,2749.0,NSW,8.0,41.0,7.0,2,6,3,6,974.3249999999999,154.1783333333333,4920.879999999999,5,1,0,3,1,0,1,0,0,5,1,0,2,4,1,5,0,355,Diamond,3,5,OHM_Bicycles
Female,58.0,Senior Quality Engineer,Retail,Mass Customer,0.0,1.0,16.0,2745.0,NSW,9.0,55.0,7.0,3,3,1,3,1385.5533333333333,655.5366666666666,2190.05,68,0,1,0,1,0,1,0,0,2,1,0,0,3,1,1,1,285,Silver,1,2,Norco_Bicycles
Male,73.0,Legal Assistant,IT,High Net Worth,0.0,0.0,4.0,3752.0,VIC,8.0,43.0,3.0,2,5,4,5,822.2239999999999,712.888,546.6799999999997,3,1,0,1,2,1,0,0,2,3,0,1,1,3,1,1,3,355,Bronze,2,5,Solex
Male,21.0,Information Systems Manager,Financial Services,Affluent Customer,0.0,1.0,15.0,2153.0,NSW,10.0,45.0,4.0,2,5,0,5,1284.234,524.24,3799.9699999999993,136,1,2,0,1,1,0,0,1,4,0,1,0,4,1,3,1,287,Platinum,2,1,Norco_Bicycles
Male,46.0,Account Executive,Argiculture,High Net Worth,0.0,0.0,1.0,2217.0,NSW,10.0,19.0,3.0,0,5,3,4,1297.866,388.026,4549.200000000001,43,1,0,1,2,1,0,0,0,5,0,0,4,1,0,5,0,316,Diamond,2,3,Solex
Male,67.0,Web Developer II,Retail,Mass Customer,0.0,0.0,18.0,2230.0,NSW,10.0,60.0,6.0,4,5,4,5,1060.83,820.1720000000001,1203.2899999999997,116,1,0,0,3,1,0,0,2,3,0,0,1,4,0,3,2,287,Bronze,2,1,Solex
Female,37.0,Information Systems Manager,Manufacturing,Affluent Customer,0.0,0.0,9.0,3046.0,VIC,7.0,46.0,4.0,2,3,3,3,1709.3266666666666,428.47333333333336,3842.5599999999995,84,0,0,0,1,2,0,0,0,3,0,0,1,2,2,1,0,348,Platinum,1,2,Trek_Bicycles
Female,16.0,Web Developer II,Manufacturing,Mass Customer,0.0,0.0,6.0,3183.0,VIC,7.0,51.0,6.0,3,6,3,6,1399.2916666666667,516.8333333333334,5294.75,20,1,0,1,0,2,2,0,1,4,1,1,0,5,3,2,1,331,Diamond,3,4,Trek_Bicycles
Male,78.0,Paralegal,Financial Services,Affluent Customer,0.0,0.0,8.0,2070.0,NSW,12.0,28.0,2.0,0,5,3,5,960.222,412.842,2736.9,4,0,1,2,0,1,1,0,2,3,0,0,1,4,1,4,0,331,Gold,2,5,OHM_Bicycles
Male,30.0,Research Associate,Argiculture,Affluent Customer,0.0,1.0,12.0,2213.0,NSW,10.0,36.0,1.0,1,1,0,1,1415.01,1259.36,155.6500000000001,131,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,131,Bronze,1,1,WeareA2B
Male,93.0,Administrative Officer,Manufacturing,Affluent Customer,0.0,1.0,16.0,4208.0,QLD,6.0,49.0,2.0,2,4,2,4,1012.2125,372.2675,2559.7799999999997,22,1,0,1,1,1,0,0,0,4,0,1,1,2,1,3,0,234,Gold,1,4,Giant_Bicycles
Female,16.0,Teacher,Manufacturing,Affluent Customer,0.0,1.0,5.0,2774.0,NSW,8.0,60.0,5.0,4,6,2,6,877.645,491.55999999999995,2316.51,168,2,1,0,3,0,0,0,1,5,0,0,0,6,0,6,0,355,Silver,3,1,Solex
Female,94.0,Business Systems Development Analyst,Manufacturing,Mass Customer,0.0,1.0,6.0,4133.0,QLD,8.0,51.0,6.0,3,3,1,3,995.2133333333335,673.04,966.5200000000001,28,1,0,0,0,1,1,0,2,1,0,0,2,1,0,1,2,252,Bronze,1,4,Giant_Bicycles
Female,28.0,VP Product Management,Property,Mass Customer,0.0,0.0,19.0,2756.0,NSW,8.0,42.0,7.0,2,8,3,8,891.32875,268.83625,4979.9400000000005,60,0,1,2,1,2,2,1,0,6,1,0,3,5,1,6,1,218,Diamond,5,2,OHM_Bicycles
Female,20.0,Statistician II,Retail,High Net Worth,0.0,1.0,18.0,4213.0,QLD,9.0,43.0,1.0,2,8,3,8,928.13,569.61,2868.16,1,3,0,1,2,2,0,1,1,5,1,2,1,5,1,7,0,284,Gold,5,5,Giant_Bicycles
Male,79.0,Automation Specialist IV,Financial Services,Mass Customer,0.0,0.0,7.0,4170.0,QLD,5.0,31.0,9.0,1,3,2,3,988.2433333333333,435.71666666666664,1657.5800000000002,101,1,1,0,1,0,0,1,1,1,0,0,1,2,0,2,1,331,Silver,1,2,Giant_Bicycles
Male,37.0,Business Systems Development Analyst,Argiculture,Affluent Customer,0.0,0.0,8.0,2153.0,NSW,9.0,36.0,3.0,1,2,1,2,569.56,528.43,82.25999999999999,211,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,212,Bronze,1,1,Giant_Bicycles
Female,76.0,Account Executive,Manufacturing,Mass Customer,0.0,0.0,18.0,2073.0,NSW,10.0,52.0,10.0,3,5,2,5,983.702,611.644,1860.29,47,2,1,0,1,0,1,0,1,4,0,1,0,4,1,3,1,310,Silver,2,3,Giant_Bicycles
Male,11.0,Data Coordiator,Entertainment,Mass Customer,0.0,0.0,13.0,3561.0,VIC,1.0,42.0,4.0,2,10,8,10,1256.4820000000002,657.596,5988.86,28,1,2,3,1,2,1,1,3,6,0,2,2,6,3,5,2,359,Diamond,5,4,OHM_Bicycles
Female,58.0,Business Systems Development Analyst,Health,High Net Worth,0.0,0.0,13.0,2330.0,NSW,6.0,34.0,9.0,1,4,2,4,1105.425,293.17,3249.02,4,0,0,1,1,2,0,0,0,4,0,0,2,2,1,3,0,297,Gold,1,5,Trek_Bicycles
Female,93.0,Software Test Engineer III,Property,High Net Worth,0.0,0.0,19.0,3977.0,VIC,8.0,55.0,6.0,3,5,4,5,1058.782,473.908,2924.37,78,3,0,0,0,0,2,0,0,4,1,0,0,5,1,3,1,313,Gold,2,2,Giant_Bicycles
Male,97.0,Internal Auditor,IT,Mass Customer,0.0,1.0,18.0,2204.0,NSW,12.0,54.0,2.0,3,6,3,6,744.1083333333335,444.4083333333333,1798.1999999999998,80,1,2,1,1,1,0,0,2,4,0,2,2,2,0,6,0,343,Silver,3,2,Norco_Bicycles
Male,78.0,Accountant III,Manufacturing,Mass Customer,0.0,1.0,14.0,2086.0,NSW,11.0,63.0,2.0,4,7,1,7,780.6642857142857,452.77571428571434,2295.2200000000003,28,1,1,2,3,0,0,0,1,6,0,2,2,3,0,7,0,343,Silver,4,4,Solex
Male,1.0,Analyst Programmer,Manufacturing,Mass Customer,0.0,0.0,8.0,2226.0,NSW,11.0,62.0,5.0,4,6,3,6,526.4383333333333,432.5433333333333,563.3699999999999,37,1,0,0,1,1,3,0,1,5,0,0,1,5,0,4,2,355,Bronze,3,3,WeareA2B
Male,75.0,Occupational Therapist,Health,High Net Worth,0.0,1.0,7.0,2075.0,NSW,11.0,32.0,3.0,1,9,4,9,813.2611111111111,551.0288888888889,2360.09,0,2,2,1,0,2,2,1,1,7,0,1,3,5,1,6,2,336,Silver,5,5,Giant_Bicycles
Male,78.0,Editor,Financial Services,Mass Customer,0.0,0.0,8.0,2038.0,NSW,12.0,46.0,4.0,2,9,5,9,888.3033333333333,472.66333333333336,3740.7599999999998,18,1,1,0,2,3,2,0,1,8,0,1,0,8,2,6,1,343,Platinum,5,4,Trek_Bicycles
Female,41.0,Help Desk Operator,Property,High Net Worth,0.0,1.0,7.0,2069.0,NSW,12.0,55.0,2.0,3,6,2,6,925.1383333333333,502.75,2534.3300000000004,74,1,1,3,0,1,0,0,3,3,0,3,3,0,2,3,1,293,Gold,3,2,OHM_Bicycles
Male,74.0,Speech Pathologist,Health,Mass Customer,0.0,1.0,14.0,2100.0,NSW,11.0,54.0,1.0,3,9,4,9,1415.7155555555555,773.5322222222222,5779.65,4,1,0,0,4,0,4,0,1,7,1,0,0,9,2,4,3,319,Diamond,5,5,Solex
Male,76.0,Quality Control Specialist,Manufacturing,Mass Customer,0.0,0.0,11.0,2233.0,NSW,10.0,36.0,11.0,1,7,2,7,1100.5114285714287,673.2642857142856,2990.73,30,1,2,1,2,0,1,0,2,5,0,0,1,6,1,5,1,296,Gold,4,4,Norco_Bicycles
Male,69.0,Senior Financial Analyst,Financial Services,Affluent Customer,0.0,1.0,17.0,2166.0,NSW,9.0,66.0,2.0,4,8,3,8,1008.3050000000001,353.00374999999997,5242.410000000001,9,1,0,0,4,1,2,0,1,6,1,2,1,5,1,7,0,261,Diamond,5,5,Solex
Female,98.0,Recruiting Manager,Health,Mass Customer,0.0,0.0,12.0,3133.0,VIC,10.0,40.0,9.0,2,3,2,3,1699.4766666666667,710.3299999999999,2967.4399999999996,34,0,0,0,0,2,1,0,0,3,0,0,0,3,1,1,1,350,Gold,1,3,Trek_Bicycles
Male,63.0,Project Manager,Retail,Mass Customer,0.0,1.0,10.0,3070.0,VIC,10.0,44.0,7.0,2,3,2,3,1758.71,766.5733333333334,2976.4099999999994,79,1,0,1,0,1,0,0,0,3,0,2,0,1,1,2,0,334,Gold,1,2,Giant_Bicycles
Male,33.0,Civil Engineer,Manufacturing,Mass Customer,0.0,0.0,21.0,2777.0,NSW,7.0,46.0,8.0,2,7,2,7,1186.5385714285715,486.2228571428572,4902.21,33,2,0,0,2,2,1,0,0,6,1,0,0,7,2,4,1,134,Diamond,4,4,Giant_Bicycles
